Name,Agent,Usage,Rounds Played,Rating,ACS,K:D,ADR,KAST,KPR,APR,First Kills Per Round,First Deaths Per Round,Kills,Deaths,Assists,First Kills,First Deaths
Cloud,tejo,(7) 54%,142,1.03,209.3,1.05,140.6,75%,0.77,0.22,0.10,0.09,110,105,31,14,13
Cloud,sova,(3) 23%,65,1.10,220.3,1.21,137.1,75%,0.80,0.23,0.14,0.06,52,43,15,9,4
Cloud,fade,(2) 15%,36,1.12,223.5,0.97,149.8,67%,0.83,0.31,0.14,0.14,30,31,11,5,5
Cloud,yoru,(1) 8%,16,0.31,115.0,0.40,79.6,38%,0.38,0.25,0.06,0.25,6,15,4,1,4
westside,cypher,(8) 62%,165,0.96,186.3,0.98,121.2,64%,0.70,0.17,0.07,0.07,116,118,28,11,11
westside,vyse,(3) 23%,58,1.23,241.0,1.33,156.1,72%,0.91,0.22,0.12,0.05,53,40,13,7,3
westside,viper,(2) 15%,36,0.62,143.0,0.59,87.3,61%,0.47,0.19,0.03,0.17,17,29,7,1,6
Jamppi,breach,(7) 50%,144,1.07,183.0,1.12,115.0,75%,0.69,0.31,0.05,0.04,100,89,45,7,6
Jamppi,kayo,(3) 21%,94,0.82,170.0,0.77,102.4,70%,0.53,0.53,0.05,0.10,50,65,50,5,9
Jamppi,sova,(2) 14%,43,1.13,215.0,1.27,143.8,65%,0.77,0.12,0.07,0.14,33,26,5,3,6
Jamppi,tejo,(2) 14%,33,0.75,158.5,0.63,111.2,61%,0.52,0.30,0.06,0.06,17,27,10,2,2
AtaKaptan,omen,(9) 64%,209,0.93,181.3,0.87,117.6,73%,0.63,0.47,0.07,0.06,131,151,98,14,13
AtaKaptan,viper,(2) 14%,47,0.69,158.0,0.69,103.3,55%,0.57,0.17,0.09,0.04,27,39,8,4,2
AtaKaptan,astra,(2) 14%,43,1.26,206.0,1.27,126.4,81%,0.77,0.56,0.05,0.05,33,26,24,2,2
AtaKaptan,brimstone,(1) 7%,34,1.21,220.0,0.96,144.4,88%,0.68,0.82,0.12,0.12,23,24,28,4,4
MOLSI,breach,(8) 67%,167,0.97,191.0,0.91,124.1,72%,0.68,0.41,0.07,0.07,113,124,69,11,11
MOLSI,deadlock,(3) 25%,58,1.05,207.0,1.12,130.3,74%,0.79,0.22,0.05,0.14,46,41,13,3,8
