Map,Team,Player,Agent,ACS,Kills,Deaths,Assists,FirstKills,Winner,MapScore,Date,MatchID,MatchURL
Fracture,TYL,waituu,brimstone,146,8,15,10,,False,7‑13,2025-03-15,4,https://www.vlr.gg/450050/tyloo-vs-edward-gaming-champions-tour-2025-china-stage-1-w1
Fracture,TYL,hfmi0dzjc9z7,tejo,109,7,16,3,,False,7‑13,2025-03-15,4,https://www.vlr.gg/450050/tyloo-vs-edward-gaming-champions-tour-2025-china-stage-1-w1
Fracture,EDG,ZmjjKK,waylay,352,26,13,7,,True,7‑13,2025-03-15,4,https://www.vlr.gg/450050/tyloo-vs-edward-gaming-champions-tour-2025-china-stage-1-w1
Fracture,EDG,nobody,tejo,202,13,11,9,,True,7‑13,2025-03-15,4,https://www.vlr.gg/450050/tyloo-vs-edward-gaming-champions-tour-2025-china-stage-1-w1
Fracture,EDG,Smoggy,brimstone,202,15,9,11,,True,7‑13,2025-03-15,4,https://www.vlr.gg/450050/tyloo-vs-edward-gaming-champions-tour-2025-china-stage-1-w1
Fracture,EDG,S1Mon,breach,173,14,10,15,,True,7‑13,2025-03-15,4,https://www.vlr.gg/450050/tyloo-vs-edward-gaming-champions-tour-2025-china-stage-1-w1
Fracture,EDG,CHICHOO,cypher,169,12,12,6,,True,7‑13,2025-03-15,4,https://www.vlr.gg/450050/tyloo-vs-edward-gaming-champions-tour-2025-china-stage-1-w1
Haven,TYL,Ninebody,cypher,252,16,14,3,,False,6‑13,2025-03-15,4,https://www.vlr.gg/450050/tyloo-vs-edward-gaming-champions-tour-2025-china-stage-1-w1
Haven,TYL,waituu,omen,188,11,18,8,,False,6‑13,2025-03-15,4,https://www.vlr.gg/450050/tyloo-vs-edward-gaming-champions-tour-2025-china-stage-1-w1
Haven,TYL,slowly,breach,149,9,15,11,,False,6‑13,2025-03-15,4,https://www.vlr.gg/450050/tyloo-vs-edward-gaming-champions-tour-2025-china-stage-1-w1
